"","Code","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1","000039.SZ"," 中集集团","9.57","机械设备","1994-04-08",516.06420084,7.595238095,1.062153163,25.09803922
"2","002459.SZ"," 晶澳科技","17.47","电力设备","2011-01-18",579.44080494,9.926136364,1.496667409,-15.68532819
"3","000983.SZ"," 山西焦煤","10.32","煤炭","2000-07-26",585.87682929,8.640562641,1.279571492,4.453441296
"4","000425.SZ"," 徐工机械","6.36","机械设备","1996-08-28",751.50816351,12.58824306,1.41116954,16.48351648
"5","001965.SZ"," 招商公路","11.3","交通运输","2006-11-20",770.67156736,6.365838544,1.283594975,15.66018424
"6","600015.SH"," 华夏银行","6.48","银行","1993-08-27",1030,2.910615362,0.39584606,15.3024911
"7","600048.SH"," 保利发展","9.13","房地产","1992-12-04",1090,12.50684932,0.583617791,-7.777777778
"8","002142.SZ"," 宁波银行","20.63","银行","2008-04-18",1360,12.76082474,0.891529818,2.58577822
"9","600000.SH"," 浦发银行","7.13","银行","2002-09-27",2090,6.726415094,0.355966051,7.703927492
"10","600028.SH"," 中国石化","6.39","石油石化","1992-08-14",7780,1.942426361,0.975274725,14.51612903
